"D_:0","D_:1","D_:2","F_D_:0","F_D_:1","F_D_:2","PedigreeNodeId","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0,0,0,0.055817,-0.0011923,0,10,1,0.1,-10,0.8,0
0,0,0,0.068433,-0.0063154,0,10,1,0.2,-10,0.8,0
0,0,0,0.019117,0.011285,0,10,1,0.3,-10,0.8,0
0,0,0,0.083817,-0.012042,0,10,1,0.4,-10,0.8,0
0,0,0,0.030167,0.0059258,0,10,1,0.5,-10,0.8,0
0,0,0,0.048045,0.0034125,0,10,1,0.6,-10,0.8,0
0,0,0,0.074571,-0.010821,0,10,1,0.7,-10,0.8,0
0,0,0,0.017987,0.016006,0,10,1,0.8,-10,0.8,0
0,0,0,0.0793,-0.0091766,0,10,1,0.9,-10,0.8,0
0,0,0,0.039907,0.0007009,0,10,1,1,-10,0.8,0
0,0,0,0.042112,0.010255,0,10,1,1.1,-10,0.8,0
0,0,0,0.074109,-0.014009,0,10,1,1.2,-10,0.8,0
0,0,0,0.025181,0.010021,0,10,1,1.3,-10,0.8,0
0,0,0,0.062886,-0.00051542,0,10,1,1.4,-10,0.8,0
0,0,0,0.056162,-0.010912,0,10,1,1.5,-10,0.8,0
0,0,0,0.029923,0.018382,0,10,1,1.6,-10,0.8,0
0,0,0,0.075181,-0.013048,0,10,1,1.7,-10,0.8,0
0,0,0,0.035467,0.0031147,0,10,1,1.8,-10,0.8,0
0,0,0,0.050491,0.012578,0,10,1,1.9,-10,0.8,0
0,0,0,0.06847,-0.018548,0,10,1,2,-10,0.8,0
0,0,0,0.025036,0.018496,0,10,1,2.1,-10,0.8,0
0,0,0,0.071037,-0.0085469,0,10,1,2.2,-10,0.8,0
0,0,0,0.042031,-0.0073243,0,10,1,2.3,-10,0.8,0
0,0,0,0.039634,0.019628,0,10,1,2.4,-10,0.8,0
0,0,0,0.073883,-0.022109,0,10,1,2.5,-10,0.8,0
0,0,0,0.024903,0.015921,0,10,1,2.6,-10,0.8,0
0,0,0,0.06746,0.0004453,0,10,1,2.7,-10,0.8,0
0,0,0,0.050698,-0.012519,0,10,1,2.8,-10,0.8,0
0,0,0,0.038405,0.023415,0,10,1,2.9,-10,0.8,0
0,0,0,0.06901,-0.018185,0,10,1,3,-10,0.8,0
0,0,0,0.034998,0.0048497,0,10,1,3.1,-10,0.8,0
0,0,0,0.048103,0.013305,0,10,1,3.2,-10,0.8,0
0,0,0,0.065011,-0.024845,0,10,1,3.3,-10,0.8,0
0,0,0,0.02798,0.025203,0,10,1,3.4,-10,0.8,0
0,0,0,0.069478,-0.013995,0,10,1,3.5,-10,0.8,0
